id,parent,iso3166-1:alpha2,name,urls,iso3166-2,short_code
afghanistan,asia,['AF'],Afghanistan,"{'pbf': 'https://download.geofabrik.de/asia/afghanistan-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/asia/afghanistan-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/asia/afghanistan-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/asia/afghanistan-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/asia/afghanistan-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/asia/afghanistan/', 'updates': 'https://download.geofabrik.de/asia/afghanistan-updates'}",,AF
africa,,,Africa,"{'pbf': 'https://download.geofabrik.de/africa-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/africa-latest.osm.bz2', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/africa-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/africa-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/africa/', 'updates': 'https://download.geofabrik.de/africa-updates'}",,
albania,europe,['AL'],Albania,"{'pbf': 'https://download.geofabrik.de/europe/albania-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/albania-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/albania-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/albania-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/albania-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/albania/', 'updates': 'https://download.geofabrik.de/europe/albania-updates'}",,AL
alberta,canada,,Alberta,"{'pbf': 'https://download.geofabrik.de/north-america/canada/alberta-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/north-america/canada/alberta-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/north-america/canada/alberta-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/north-america/canada/alberta-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/north-america/canada/alberta-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/north-america/canada/alberta/', 'updates': 'https://download.geofabrik.de/north-america/canada/alberta-updates'}",['CA-AB'],CA-AB
algeria,africa,['DZ'],Algeria,"{'pbf': 'https://download.geofabrik.de/africa/algeria-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/africa/algeria-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/africa/algeria-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/africa/algeria-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/africa/algeria-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/africa/algeria/', 'updates': 'https://download.geofabrik.de/africa/algeria-updates'}",,DZ
alps,europe,,Alps,"{'pbf': 'https://download.geofabrik.de/europe/alps-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/alps-latest.osm.bz2', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/alps-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/alps-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/alps/', 'updates': 'https://download.geofabrik.de/europe/alps-updates'}",,
alsace,france,,Alsace,"{'pbf': 'https://download.geofabrik.de/europe/france/alsace-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/france/alsace-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/france/alsace-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/france/alsace-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/france/alsace-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/france/alsace/', 'updates': 'https://download.geofabrik.de/europe/france/alsace-updates'}",,
american-oceania,australia-oceania,['VU'],American Oceania,"{'pbf': 'https://download.geofabrik.de/australia-oceania/american-oceania-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/australia-oceania/american-oceania-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/australia-oceania/american-oceania-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/australia-oceania/american-oceania-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/australia-oceania/american-oceania-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/australia-oceania/american-oceania/', 'updates': 'https://download.geofabrik.de/australia-oceania/american-oceania-updates'}",,VU
andalucia,spain,,Andalucía,"{'pbf': 'https://download.geofabrik.de/europe/spain/andalucia-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/spain/andalucia-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/spain/andalucia-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/spain/andalucia-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/spain/andalucia-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/spain/andalucia/', 'updates': 'https://download.geofabrik.de/europe/spain/andalucia-updates'}",,
andorra,europe,['AD'],Andorra,"{'pbf': 'https://download.geofabrik.de/europe/andorra-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/andorra-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/andorra-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/andorra-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/andorra-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/andorra/', 'updates': 'https://download.geofabrik.de/europe/andorra-updates'}",,AD
